stance,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anger,social,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,bio,drives,affiliation,achieve,power,reward,focuspast,focuspresent,focusfuture,relativ,motion,space,time.1,work,informal,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP
Strong Agreement,27,17.96,13.32,58.07,1.0,6.75,14.81,92.59,51.85,14.81,14.81,7.41,0.0,7.41,0.0,0.0,0.0,11.11,7.41,7.41,3.7,11.11,18.52,3.7,0.0,3.7,0.0,3.7,3.7,0.0,3.7,3.7,14.81,7.41,29.63,7.41,11.11,0.0,3.7,3.7,7.41,3.7,0.0,3.7,11.11,3.7,7.41,3.7,0.0,3.7,11.11,0.0,7.41,3.7,3.7,0.0,3.7,0.0,14.81,0.0,0.0,0.0,11.11,0.0,3.7
Strong Disagreement,8,37.39,99.0,74.76,25.77,8.0,0.0,87.5,50.0,25.0,12.5,0.0,12.5,0.0,0.0,12.5,0.0,12.5,12.5,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,12.5,0.0,0.0,25.0,0.0,25.0,12.5,12.5,0.0,0.0,0.0,25.0,0.0,0.0,12.5,0.0,0.0,12.5
Strong Disagreement,5,99.0,2.31,1.0,1.0,5.0,0.0,60.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,40.0,0.0,40.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Strong Agreement,3,1.0,99.0,1.0,1.0,3.0,33.33,100.0,66.67,33.33,33.33,0.0,33.33,0.0,0.0,0.0,0.0,0.0,33.33,0.0,0.0,0.0,33.33,0.0,0.0,0.0,0.0,0.0,33.33,0.0,33.33,0.0,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33,33.33,0.0,0.0,0.0,0.0,0.0
Strong Disagreement,10,98.46,50.0,99.0,25.77,5.0,30.0,80.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,20.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,20.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,30.0,0.0,10.0,20.0,0.0,0.0,30.0,0.0,0.0,0.0,10.0,0.0,20.0
Neutral,25,81.4,78.82,6.7,1.0,12.5,20.0,60.0,32.0,12.0,4.0,0.0,0.0,0.0,4.0,8.0,8.0,4.0,4.0,4.0,0.0,0.0,8.0,4.0,4.0,0.0,4.0,0.0,12.0,0.0,12.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,4.0,0.0,0.0,8.0,0.0,12.0,0.0,8.0,4.0,0.0,0.0,12.0,8.0,4.0,0.0,0.0,0.0,0.0
Strong Disagreement,2,92.84,1.0,1.0,25.77,2.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0
Strong Disagreement,16,1.0,96.95,7.84,1.0,16.0,12.5,100.0,62.5,37.5,6.25,0.0,6.25,0.0,0.0,31.25,0.0,6.25,12.5,6.25,6.25,6.25,25.0,6.25,0.0,6.25,0.0,0.0,6.25,0.0,6.25,6.25,18.75,0.0,18.75,12.5,0.0,6.25,0.0,0.0,0.0,6.25,0.0,0.0,12.5,0.0,6.25,6.25,0.0,0.0,18.75,0.0,6.25,0.0,6.25,0.0,0.0,0.0,6.25,0.0,0.0,6.25,0.0,0.0,0.0
Strong Agreement,4,1.0,50.0,1.0,25.77,4.0,25.0,75.0,75.0,25.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,25.0,0.0,0.0
Strong Disagreement,9,17.96,86.68,58.07,25.77,4.5,0.0,66.67,33.33,11.11,0.0,0.0,0.0,0.0,0.0,11.11,0.0,0.0,22.22,0.0,0.0,0.0,22.22,11.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,11.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,0.0,0.0,11.11,0.0,0.0,22.22,0.0,22.22,0.0,22.22,0.0,0.0,0.0,22.22,11.11,0.0,0.0,11.11,0.0,0.0
Strong Disagreement,23,23.89,95.89,9.25,1.0,7.67,21.74,91.3,47.83,13.04,13.04,4.35,8.7,0.0,0.0,0.0,4.35,8.7,13.04,8.7,8.7,0.0,21.74,0.0,0.0,0.0,8.7,0.0,13.04,4.35,8.7,8.7,13.04,0.0,17.39,4.35,4.35,0.0,0.0,8.7,0.0,0.0,0.0,0.0,4.35,0.0,4.35,0.0,0.0,0.0,13.04,0.0,4.35,0.0,4.35,0.0,0.0,0.0,26.09,17.39,0.0,4.35,0.0,4.35,0.0
Strong Agreement,7,99.0,99.0,1.0,25.77,7.0,0.0,100.0,42.86,14.29,14.29,0.0,14.29,0.0,0.0,0.0,14.29,14.29,0.0,0.0,0.0,0.0,28.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.57,0.0,14.29,0.0,0.0,14.29,0.0,0.0,0.0,14.29,0.0,0.0,14.29,0.0,0.0,0.0,14.29,0.0,28.57,0.0,0.0,0.0,0.0,0.0,0.0,14.29,14.29,0.0,14.29,0.0,0.0,0.0,0.0
Neutral,26,42.69,93.79,1.4,1.0,8.67,23.08,80.77,53.85,19.23,7.69,0.0,3.85,0.0,3.85,11.54,3.85,11.54,11.54,0.0,3.85,3.85,15.38,7.69,3.85,3.85,0.0,0.0,11.54,0.0,7.69,0.0,19.23,0.0,11.54,0.0,3.85,0.0,3.85,0.0,3.85,0.0,0.0,0.0,3.85,0.0,3.85,0.0,3.85,3.85,15.38,0.0,3.85,0.0,3.85,0.0,0.0,0.0,15.38,7.69,0.0,0.0,7.69,0.0,0.0
Strong Agreement,1,1.0,99.0,1.0,25.77,1.0,0.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0
Strong Disagreement,24,17.96,89.42,1.0,1.0,8.0,8.33,91.67,50.0,16.67,8.33,0.0,0.0,8.33,0.0,8.33,0.0,8.33,12.5,4.17,8.33,0.0,29.17,12.5,4.17,0.0,0.0,0.0,12.5,0.0,12.5,8.33,12.5,8.33,12.5,4.17,4.17,0.0,0.0,4.17,0.0,8.33,8.33,0.0,4.17,0.0,0.0,4.17,0.0,4.17,20.83,0.0,8.33,0.0,0.0,8.33,0.0,0.0,8.33,8.33,0.0,0.0,0.0,0.0,0.0
Neutral,8,11.24,50.0,7.84,1.0,4.0,0.0,100.0,37.5,25.0,25.0,12.5,12.5,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,25.0,12.5,0.0,0.0,0.0,0.0,25.0,0.0,25.0,0.0,12.5,0.0,12.5,0.0,12.5,0.0,0.0,0.0,0.0,12.5,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,12.5,25.0,25.0,0.0,0.0,0.0,0.0,0.0
Neutral,8,99.0,89.42,1.0,25.77,8.0,25.0,50.0,37.5,12.5,12.5,0.0,0.0,12.5,0.0,0.0,12.5,12.5,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,12.5,12.5,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,12.5,0.0,0.0
Neutral,13,42.69,22.08,1.4,1.0,6.5,7.69,53.85,38.46,15.38,7.69,0.0,0.0,7.69,0.0,7.69,15.38,0.0,15.38,0.0,0.0,7.69,15.38,15.38,0.0,0.0,0.0,0.0,15.38,0.0,15.38,0.0,7.69,7.69,7.69,0.0,0.0,0.0,0.0,0.0,7.69,0.0,0.0,0.0,15.38,0.0,0.0,15.38,0.0,0.0,15.38,0.0,7.69,0.0,0.0,7.69,0.0,0.0,23.08,7.69,0.0,0.0,0.0,15.38,0.0
Strong Agreement,10,99.0,84.14,43.37,25.77,10.0,20.0,50.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,30.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Strong Agreement,18,74.89,28.91,1.0,25.77,9.0,5.56,88.89,55.56,11.11,0.0,0.0,0.0,0.0,0.0,11.11,11.11,11.11,11.11,5.56,0.0,5.56,22.22,11.11,5.56,5.56,0.0,0.0,11.11,5.56,5.56,5.56,5.56,0.0,22.22,0.0,11.11,5.56,0.0,0.0,5.56,0.0,0.0,5.56,0.0,0.0,0.0,0.0,0.0,0.0,16.67,0.0,5.56,0.0,0.0,5.56,0.0,0.0,11.11,5.56,0.0,5.56,0.0,0.0,0.0
Strong Disagreement,12,99.0,50.0,1.79,1.0,6.0,25.0,66.67,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,8.33,0.0,0.0,0.0,16.67,0.0,0.0,0.0,0.0,8.33,8.33,0.0,8.33,8.33,8.33,0.0,8.33,0.0,0.0,0.0,8.33,0.0,0.0,0.0,0.0,8.33,25.0,0.0,8.33,16.67,0.0,0.0,8.33,0.0,8.33,0.0,8.33,0.0,0.0,8.33,25.0,16.67,0.0,0.0,0.0,8.33,0.0
Neutral,34,26.21,98.02,1.0,79.41,17.0,14.71,73.53,64.71,23.53,11.76,0.0,5.88,0.0,5.88,11.76,5.88,11.76,11.76,8.82,2.94,0.0,14.71,0.0,2.94,5.88,0.0,0.0,2.94,2.94,0.0,0.0,20.59,0.0,20.59,0.0,5.88,5.88,5.88,2.94,5.88,0.0,0.0,0.0,2.94,0.0,2.94,0.0,0.0,0.0,5.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.71,0.0,2.94,5.88,0.0,0.0,0.0
Strong Disagreement,27,99.0,50.0,15.12,25.77,6.75,29.63,48.15,25.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.41,14.81,0.0,3.7,0.0,0.0,3.7,3.7,3.7,0.0,3.7,0.0,7.41,3.7,3.7,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,3.7,0.0,3.7,0.0,0.0,3.7,0.0,0.0,0.0,3.7,14.81,3.7,7.41,3.7,7.41,0.0,48.15,14.81,14.81,0.0,0.0,0.0,11.11
Neutral,8,37.39,99.0,1.0,1.0,8.0,12.5,87.5,50.0,25.0,12.5,0.0,12.5,0.0,0.0,12.5,12.5,0.0,12.5,0.0,0.0,0.0,12.5,0.0,0.0,12.5,0.0,0.0,25.0,0.0,25.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.5,12.5,25.0,0.0,0.0,0.0,0.0
Strong Disagreement,1,92.84,99.0,1.0,25.77,1.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,200.0,0.0,0.0,0.0
Strong Disagreement,13,1.0,99.0,1.0,25.77,4.33,15.38,76.92,61.54,30.77,23.08,0.0,23.08,0.0,0.0,7.69,0.0,7.69,7.69,15.38,7.69,0.0,15.38,7.69,7.69,0.0,0.0,0.0,15.38,7.69,7.69,0.0,23.08,0.0,7.69,0.0,7.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,276.92,0.0,0.0,276.92,0.0,0.0,0.0
Neutral,1,92.84,99.0,1.0,25.77,1.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,200.0,0.0,0.0,0.0
Neutral,13,1.0,99.0,1.0,25.77,4.33,15.38,76.92,61.54,30.77,23.08,0.0,23.08,0.0,0.0,7.69,0.0,7.69,7.69,15.38,7.69,0.0,15.38,7.69,7.69,0.0,0.0,0.0,15.38,7.69,7.69,0.0,23.08,0.0,7.69,0.0,7.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,276.92,0.0,0.0,276.92,0.0,0.0,0.0
Strong Agreement,23,1.23,66.81,9.25,25.77,11.5,26.09,91.3,73.91,17.39,8.7,0.0,8.7,0.0,0.0,8.7,4.35,13.04,17.39,13.04,17.39,4.35,13.04,4.35,4.35,4.35,0.0,0.0,0.0,0.0,0.0,0.0,8.7,0.0,17.39,0.0,4.35,0.0,8.7,0.0,8.7,0.0,0.0,4.35,8.7,0.0,8.7,4.35,4.35,0.0,17.39,0.0,4.35,0.0,4.35,0.0,4.35,4.35,26.09,0.0,8.7,8.7,0.0,8.7,0.0
Strong Disagreement,9,1.0,99.0,98.01,1.0,9.0,22.22,100.0,55.56,22.22,11.11,0.0,0.0,0.0,11.11,11.11,0.0,0.0,22.22,11.11,11.11,0.0,33.33,22.22,11.11,11.11,0.0,0.0,11.11,0.0,11.11,11.11,33.33,0.0,44.44,22.22,11.11,0.0,11.11,11.11,0.0,0.0,0.0,0.0,11.11,0.0,0.0,11.11,0.0,0.0,33.33,0.0,11.11,0.0,11.11,0.0,0.0,0.0,44.44,33.33,0.0,11.11,0.0,0.0,0.0
Neutral,7,67.14,50.0,13.15,25.77,7.0,28.57,71.43,42.86,14.29,0.0,0.0,0.0,0.0,0.0,14.29,0.0,14.29,14.29,0.0,0.0,0.0,28.57,0.0,0.0,0.0,0.0,14.29,0.0,0.0,0.0,0.0,0.0,0.0,28.57,14.29,0.0,0.0,0.0,14.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Neutral,8,92.84,89.42,1.0,25.77,8.0,25.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,12.5,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,75.0,12.5,0.0,0.0,0.0,0.0,62.5
Strong Disagreement,17,41.45,50.0,28.81,25.77,17.0,17.65,82.35,58.82,17.65,0.0,0.0,0.0,0.0,0.0,17.65,5.88,11.76,11.76,5.88,5.88,0.0,11.76,0.0,0.0,0.0,0.0,5.88,0.0,0.0,0.0,0.0,11.76,0.0,23.53,0.0,0.0,0.0,17.65,0.0,11.76,0.0,0.0,0.0,5.88,0.0,0.0,5.88,0.0,0.0,11.76,0.0,5.88,0.0,5.88,0.0,11.76,0.0,5.88,0.0,0.0,5.88,0.0,0.0,0.0
Neutral,11,1.0,50.0,85.21,1.0,11.0,18.18,90.91,54.55,9.09,9.09,0.0,9.09,0.0,0.0,0.0,9.09,0.0,9.09,27.27,18.18,9.09,18.18,18.18,9.09,9.09,0.0,9.09,18.18,0.0,18.18,0.0,9.09,0.0,27.27,0.0,0.0,9.09,9.09,0.0,9.09,0.0,0.0,0.0,9.09,0.0,0.0,9.09,0.0,0.0,9.09,0.0,27.27,9.09,9.09,9.09,0.0,0.0,36.36,27.27,0.0,0.0,0.0,9.09,0.0
Strong Agreement,29,97.44,84.96,3.81,25.77,14.5,20.69,79.31,55.17,13.79,10.34,0.0,0.0,0.0,3.45,3.45,13.79,17.24,0.0,0.0,3.45,6.9,13.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.24,0.0,10.34,0.0,0.0,0.0,0.0,3.45,6.9,0.0,0.0,0.0,20.69,6.9,0.0,6.9,3.45,0.0,13.79,0.0,3.45,0.0,3.45,0.0,3.45,3.45,34.48,6.9,3.45,0.0,0.0,20.69,3.45
Strong Agreement,31,53.27,97.31,1.0,1.23,6.2,19.35,74.19,45.16,16.13,12.9,3.23,0.0,6.45,3.23,3.23,6.45,9.68,12.9,3.23,3.23,0.0,22.58,0.0,3.23,0.0,0.0,3.23,3.23,0.0,3.23,0.0,22.58,9.68,6.45,0.0,0.0,0.0,3.23,3.23,0.0,6.45,0.0,0.0,3.23,0.0,0.0,0.0,0.0,12.9,9.68,0.0,6.45,3.23,3.23,0.0,3.23,0.0,22.58,19.35,0.0,0.0,0.0,3.23,0.0
Neutral,44,68.79,41.03,19.82,3.73,22.0,9.09,79.55,59.09,9.09,2.27,0.0,0.0,0.0,2.27,6.82,11.36,13.64,9.09,6.82,13.64,0.0,22.73,2.27,2.27,6.82,0.0,0.0,2.27,0.0,2.27,0.0,4.55,0.0,13.64,2.27,2.27,4.55,2.27,0.0,6.82,2.27,0.0,2.27,2.27,0.0,0.0,0.0,2.27,4.55,13.64,2.27,11.36,2.27,4.55,4.55,2.27,2.27,11.36,4.55,0.0,2.27,0.0,0.0,4.55
Weak Disagreement,7,99.0,92.33,13.15,25.77,7.0,14.29,85.71,42.86,14.29,0.0,0.0,0.0,0.0,0.0,14.29,14.29,14.29,0.0,0.0,0.0,0.0,28.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.29,14.29,0.0,14.29,0.0,0.0,0.0,14.29,0.0,28.57,0.0,14.29,0.0,14.29,0.0,0.0,14.29,28.57,0.0,0.0,0.0,14.29,0.0,14.29
Strong Disagreement,11,12.85,96.52,2.4,25.77,5.5,9.09,63.64,54.55,18.18,9.09,0.0,0.0,0.0,9.09,9.09,0.0,9.09,18.18,9.09,0.0,0.0,18.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.18,0.0,9.09,0.0,0.0,9.09,0.0,0.0,27.27,18.18,9.09,0.0,0.0,0.0,0.0
Weak Agreement,18,45.11,50.0,1.0,25.77,6.0,0.0,88.89,50.0,16.67,5.56,0.0,0.0,5.56,0.0,11.11,11.11,11.11,16.67,0.0,5.56,5.56,16.67,11.11,5.56,0.0,0.0,5.56,11.11,5.56,5.56,0.0,16.67,11.11,16.67,0.0,0.0,0.0,0.0,11.11,5.56,0.0,0.0,5.56,5.56,0.0,0.0,5.56,0.0,0.0,16.67,0.0,5.56,0.0,5.56,0.0,0.0,5.56,27.78,0.0,0.0,0.0,16.67,11.11,0.0
Strong Agreement,39,35.66,10.0,1.4,1.0,19.5,23.08,89.74,58.97,12.82,2.56,0.0,0.0,0.0,2.56,10.26,15.38,5.13,10.26,5.13,10.26,7.69,20.51,5.13,5.13,0.0,0.0,5.13,7.69,0.0,7.69,0.0,2.56,0.0,25.64,2.56,7.69,5.13,0.0,2.56,7.69,2.56,2.56,0.0,7.69,0.0,2.56,2.56,2.56,10.26,5.13,0.0,2.56,0.0,0.0,2.56,2.56,0.0,5.13,2.56,0.0,0.0,0.0,2.56,0.0
Strong Agreement,4,99.0,99.0,74.76,99.0,4.0,0.0,100.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,25.0,25.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,50.0,0.0,25.0,25.0,25.0,0.0,0.0,0.0,25.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Weak Agreement,17,73.36,50.0,6.2,98.87,8.5,11.76,82.35,41.18,5.88,5.88,0.0,0.0,0.0,5.88,0.0,11.76,5.88,5.88,5.88,5.88,5.88,5.88,11.76,5.88,0.0,5.88,0.0,5.88,5.88,0.0,0.0,5.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.76,17.65,0.0,5.88,11.76,0.0,0.0,5.88,0.0,11.76,0.0,5.88,5.88,11.76,5.88,41.18,41.18,0.0,0.0,0.0,0.0,0.0
Strong Agreement,11,31.44,81.84,85.21,25.77,11.0,0.0,90.91,72.73,18.18,9.09,0.0,0.0,9.09,0.0,9.09,0.0,27.27,18.18,9.09,9.09,0.0,27.27,0.0,0.0,9.09,0.0,0.0,0.0,0.0,0.0,0.0,9.09,9.09,18.18,9.09,9.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.09,18.18,0.0,27.27,0.0,18.18,9.09,0.0,0.0,9.09,0.0,0.0,9.09,0.0,0.0,0.0
Neutral,13,42.69,22.08,1.4,25.77,3.25,7.69,69.23,46.15,15.38,7.69,0.0,0.0,7.69,0.0,7.69,7.69,7.69,15.38,0.0,0.0,7.69,23.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.69,7.69,7.69,0.0,0.0,0.0,0.0,0.0,7.69,7.69,7.69,0.0,15.38,0.0,0.0,7.69,0.0,0.0,23.08,0.0,7.69,0.0,7.69,0.0,0.0,0.0,38.46,15.38,0.0,0.0,7.69,7.69,7.69
Neutral,4,92.84,50.0,1.0,25.77,4.0,75.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,75.0
Neutral,8,92.84,89.42,1.0,25.77,8.0,25.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,12.5,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,75.0,12.5,0.0,0.0,0.0,0.0,62.5
Weak Agreement,8,11.24,89.42,1.0,1.0,2.67,37.5,75.0,37.5,12.5,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,12.5,0.0,12.5,0.0,12.5,12.5,12.5,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,162.5,150.0,0.0,0.0,0.0,0.0,12.5
Weak Disagreement,5,8.19,50.0,1.0,99.0,5.0,20.0,60.0,40.0,20.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0
Strong Disagreement,13,99.0,50.0,94.81,25.77,13.0,38.46,69.23,30.77,7.69,0.0,0.0,0.0,0.0,0.0,7.69,7.69,15.38,0.0,0.0,0.0,0.0,15.38,7.69,7.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.69,0.0,15.38,0.0,7.69,0.0,0.0,0.0,7.69,0.0,0.0,7.69,15.38,0.0,0.0,15.38,0.0,0.0,15.38,0.0,23.08,7.69,15.38,0.0,7.69,0.0,7.69,0.0,7.69,0.0,0.0,0.0,0.0
Strong Agreement,7,1.0,99.0,1.0,1.0,7.0,28.57,100.0,85.71,28.57,14.29,0.0,14.29,0.0,0.0,14.29,0.0,14.29,14.29,28.57,0.0,0.0,14.29,14.29,0.0,0.0,0.0,0.0,28.57,0.0,28.57,0.0,14.29,0.0,14.29,0.0,0.0,0.0,14.29,0.0,0.0,0.0,0.0,0.0,14.29,0.0,0.0,0.0,0.0,0.0,14.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.29,14.29,0.0,0.0,0.0,0.0,0.0
